cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Georgia,.023625,.779161,.588625,.411375,,50.27775,48.92126,,.8009968,54.27398,52.93595,,1.209836,46.26419,44.90838,,.4364165,1.35649,9.348005,-6.662106,.3520917,.9845032,.9710671,.5180022,4313478,4878126,3758360,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Florida,.111,1.557333,.413675,.586325,,48.90201,50.31034,,.7876555,53.27234,54.69255,,1.189368,44.5304,45.94374,,.4293329,-1.408327,7.323143,-10.15363,.4983381,.9872085,.9659131,.7403274,1.01e+07,1.15e+07,8848099,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",District of Columbia,0,0,0,1,,5.798436,90.75586,,3.445704,8.509029,93.86174,,5.344402,3.242563,87.43307,,1.799189,-84.95742,-79.26741,-90.41331,,.78185,0,1,328796.1,413417.5,246606.5,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Delaware,.0000375,.0122545,.001175,.998825,,38.41797,60.45554,,1.12649,42.48456,64.49584,,1.71152,34.40182,56.37785,,.6083473,-22.03757,-13.93804,-30.05893,.9361702,.7826946,.005154,.9999041,458545.3,521061.5,397126.5,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Connecticut,.000975,.0842944,.0096,.9904,,39.93925,59.14441,,.9163315,44.82249,63.97737,,1.387263,35.108,54.26444,,.4975679,-19.20516,-9.451088,-28.85724,.8880208,.7883936,.0399438,.998689,1637060,1853149,1423895,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Colorado,.0292125,1.417035,.12165,.87835,,44.59815,53.49905,,1.902805,49.54939,58.42582,,2.917768,39.70702,48.54501,,1.012622,-8.900897,.9482079,-18.66835,.7616112,.8576308,.4341103,.963484,2925835,3307842,2554010,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",California,.00205,.020031,.002275,.997725,,34.22099,63.86007,,1.918934,39.54436,69.15669,,2.942916,28.97028,58.51532,,1.020942,-29.63908,-19.02017,-40.13809,.6263736,.7828059,.0066768,.9989448,1.43e+07,1.62e+07,1.23e+07,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Arkansas,.0002875,.036468,.942025,.057975,,56.49868,41.90596,,1.595364,62.27277,47.70612,,2.439133,50.67614,36.14834,,.8533987,14.59272,26.07923,3.009127,.225339,.9797326,.9946117,.0726482,1152585,1318897,992339.5,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Arizona,.055175,2.793519,.38105,.61895,,48.24664,50.44037,,1.312987,53.12135,55.3071,,2.000601,43.39656,45.5685,,.7061161,-2.193731,7.51922,-11.89268,.4885842,.9529041,.8723205,.7543647,2808854,3176222,2447811,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Alaska,.0016875,.7575536,.786975,.213025,,52.7314,45.01793,,2.250666,59.10224,51.50627,,3.462042,46.2536,38.71273,,1.191612,7.713474,20.35501,-5.196877,.2621112,.9659665,.9664988,.2631899,316366.8,359406.5,274262,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",Alabama,.0002875,.0191247,.9713,.0287,,58.62001,40.58109,,.7989038,64.21622,46.27454,,1.206623,52.9285,34.9759,,.4353054,18.03891,29.21093,6.662594,.2185988,.9616725,.994846,.0353009,2146650,2451770,1849272,20:24:04 30 Sep 2020,40000
